ENGLISH,,,FRENCH,,,,
Identification,,,Identification,,,,
,Type of settlement,in a planned camp; self-settlement with relocation; self-settlement in-situ; in a collective centre; host family; in a planned site,,Type d'établissements humains,camp planifié; camp spontané avec délocalisation; camp spontané sur place; centre d'accueil collectif; famille d'accueil; site planifié,,
,Labour methods,direct (beneficiary) labour; community labour; contract labour,,Type de main d'œuvre,main d'œuvre directe (bénéficiaire); main d'œuvre communautaire; main d'œuvre contractuelle (sous contrat) ,,
,Labour skills,skilled labour; unskilled labour,,Qualification de la main d'œuvre ,main d'œuvre qualifiée; main d'œuvre non qualifiée,,
,Support provided,"none; technical training; technical support; shelter construction items; cash; vouchers; livelihood support; environmental & resource management; local information centres; insurances; loans & guarantees; advocacy, legal & administrative; market interventions; return & transit items; infrastructure & settlement planning; other",,Soutien complémentaire fourni,"aucun; formation technique; soutien technique; matériaux de construction; versement d'espèces; remise de bons d'achat; soutien aux moyens de subsistance; gestion de l'environnement et des ressources; centre d'information local; assurances; prêts et garanties; interventions sur le marché; échanges de produits; plaidoyer, aide juridique et administrative; planification des établissements humains et infrastructures; autre    ",,
General,,,Propriétés générales,,,,
,Year of construction (first completed shelters),,,Année de construction,,,
,Number of inhabitants of the shelter,,,Nombre d'habitants par abri,,,
,Occupancy status (site),occupied with no legal status; land tenant; owner of the land; family land,,Statut d'occupation (terrain),terrain occupé sans statut légal; locataire du terrain; propriétaire du terrain; terrain appartient à la famille,,
,Occupancy status (shelter),not occupied; occupied with no legal status; house tenant; owner-occupier,,Statut d'occupation (logement),logement non-occupé; occupé sans statut légal; locataire du logement; propriétaire-occupant,,
,Typology,detached; semi-detached; row unit; apartment,,Typologie,logement individuel; logement jumélé; logement en rangée; appartement,,
,Storeys,,,Nombre d'étage,,,
,Number of rooms (not including kitchen & bathroom/toilet),,,Nombre de pièces (cuisine et salle de bain/toilettes exclus),,,
,Length (m),,,Longueur (m),,,
,Width (m),,,Largeur (m),,,
,Total interior area (m2),,,Surface habitable (m2),,,
,Covered area (m2),,,Surface couverte (m2),,,
,Wall height (m),,,Hauteur des murs (m),,,
,Ridge height (m),,,Hauteur au faitage (m),,,
,Construction cost per unit (USD),,,Coût de la construction par logement (USD),,,
,Construction costs breakdown (USD) - local material,,,Coût de la construction / répartition (USD) - matériaux locaux,,,
,Construction costs breakdown (USD) - imported material,,,Coût de la construction / répartition (USD) - matériaux importés,,,
,Construction costs breakdown (USD) - transport and warehousing,,,Coût de la construction / répartition (USD) - transport,,,
,Construction costs breakdown (USD) - local labour,,,Coût de la construction / répartition (USD) - main d'œuvre locale,,,
,Construction costs breakdown (USD) - international staff,,,Coût de la construction / répartition (USD) - main d'œuvre expatriée (délégués),,,
,Construction costs breakdown (USD) - trainings,,,Coût de la construction / répartition (USD) - réunions et formations,,,
,Construction costs breakdown (USD) - administrative costs,,,Coût de la construction / répartitionn (USD) - coûts administratifs,,,
,Construction costs breakdown (USD) - other,,,Coût de la construction / répartition (USD) - autre,,,
,Construction labour (number of workers),,,Quantité de main d'œuvre (nombre d'ouvriers),,,
,Construction time (number of days per unit),,,Durée de la construction (nombre de jours),,,
,Comment,,,Commentaire,,,
Site,,,Terrain,,,,
,Context,urban; peri-urban; slum; semi-rural; rural,,Environnement,urbain; péri-urbain; bidonville; semi-rural; rural,,
,Topography,"flat/level (<2%); gentle slope (2-10%); moderate slope (10-15%); strong slope (15-30%); very strong slope (30-45%), extreme slope (45-70%), steep slope (70-100%); very steep slope (>100%)",,Topographie,"plat (<2%); pente faible (2-10%); pente modérée (10-15%); pente forte (15-30%); pente très forte (30-45%), pente raide (45-70%), pente abrupte  (70-100%); pente très abrupte (>100%); ",,
,Location of the site,exposed crest/edge of a cliff; coastal area; low-lying area; in terrace; undulating; base of a slope; close to a river/pond/lake; on water; other,,Situation du terrain,au sommet d'une colline/montagne/bord d'une falaise; en bord de mer; en zone de terres basses; en terrasse; terrain vallonné; au pied d'une colline/montagne; près d'une rivière/étang/lac; sur l'eau; autre  ,,
,Soil type,rock; stone/gravel; sand; clay; wetland/water,,Type de sol,rocher; rocailleux; sableux; argileux; marécageux ,,
,Vegetation,trees; shrub; bush; grass; none,,Végétation,arbres; arbustes; buissons; herbes; aucune,,
,Approximate plot area (m2),,,Surface du terrain/lot (m2),,,
,Site access,none; gravel; (permeable) pavement; asphalt; concrete,,Type d'accès au terrain,aucun; gravier/graves; chaussée perméable; asphalte; béton,,
,Accessibility for transport,by truck; by car; by 4x4; by animal; by foot; by boat/raft; other,,Accessibilité aux transports,par camion; par voiture; par 4x4; à dos d'animal; à pied; par bateau/radeau; autre ,,
Foundation,,,Fondation,,,,
,Foundation type,strip footing; isolated footing (pad/ bucket); monolithic slab; on stilts/pillars/piles; helical piles/ screw piles; earth anchor/ mechanical soil anchor; spiral ground anchor; pegs ; ballast; anchor block; none ,,Type de fondation,semelle filante; semelle isolée; dalle avec semelle filante intégrée; pilotis/pieu/pile; pieu hélicoïdal; ancre enfoncée par percussion; ancrage en spirale; piquet; lest; massif d'ancrage; aucun    ,,
,Foundation material,reinforced concrete; reinforcing bars; welded-wire mesh; concrete; mortar; timber; wood; bamboo; steel; galvanized steel; granular fill; stone; backfill; rubble (masonry); squared rubble; concrete block(solid); hollow concrete block; solid brick (fired clay); adobe/sun-dried brick; salvage material; rocks masonry; rocks; other,,Fondations (matériaux),béton armé; armatures; treillis soudé; béton; mortier; bois (débité); bois (non débité); bambou; acier; acier galvanisé; hérisson; pierres; remblais; moellon lité (maçonnerie); moellon équarri; bloc plein (en béton); bloc creux (en béton); brique pleine (cuite); brique de terre crue (adobe); matériaux de récupération; autre,"""21/21",rocks masonry; rocks are synonyms of rubble (masonry) and stone. Proposed solution: delete terms in red in C68.
,Depth of foundation (m),,,Profondeur des fondations (m),,,
,Section/ surface of footing (m x m),,,Section/ surface de la semelle (m x m),,,
,Width of wall base (m),,,Largeur du soubassement (m),,,
,Section of stilt/ pillar/ pile (m x m),,,Section des pilotis/ piliers / piles (m x m),,,
,Thickness of monolithic concrete slab (m),,,Epaisseur de la dalle en béton (m),,,
,Distance between piles/ stilts/ isoled footing (m),,,Distance entre les pilotis/ piles / semelles isolées (m),,,
,Connection between foundation - walls,none; nails; screws; lag screws/lag bolts; bolts and nuts; anchor bolts & washers; anchor plates/ post anchors/bases; straps; reinforcing bars; wire; lashings; dowels/ pins; other,,Connection entre fondations et murs,aucune; clous; vis; tirefonds; boulons et écrous; tiges d'ancrage et rondelles; platiness; connecteurs métalliques; armatures; fil de fer; liens; chevilles/goujons; autre  ,,
,Connection material (foundation - walls),none; cement; steel; galvanized steel; stainless steel; timber; wood; bamboo; polymer; organic; concrete; other,,Connection entre fondations et murs (matériaux),aucun; ciment; acier; acier galvanisé; acier inoxydable; bois (débité); bois (non débité); bambou; polymère; matériaux organiques; béton; autre   ,"""12/12",
,Comment,,,Commentaire,,,
Walls & Frame,,,Mur & Structure,,,,
,Superstructure type,bearing walls; framed walls; pole-frame construction; posts & beams framing;  other,,Type de superstructure ,maçonnerie porteuse; ossature bois; ossature poteaux longs; ossature poteaux-poutres; autre,,
,Comment,,,Commentaire,,,
Bearings walls,,,Maçonnerie,,,,
,Bearing walls material,concrete block (solid); hollow concrete block; solid brick (fired clay); perforated brick (fired clay); hollow brick (fired clay); adobe/ sun-dried brick; rubble (masonry); squared rubble; other,,Maçonnerie porteuse (matériaux),bloc plein (en béton); bloc creux (en béton); brique pleine (cuite); brique perforée (cuite); brique creuse (cuite); adobe/brique de terre crue séchée; moellon lité; moellon assisé; autre  ,,
,Bearing walls - width (m),,,Maçonnerie porteuse - largeur (m),,,
,Bearing walls - bond beams & lintels,none; bond beam/ ring beam; vertical wall reinforcement; lintel (above doors); lintel (above windows); rake beam (top of gable end),,Maçonnerie porteuse - chaînages et linteaux,aucun; chaînage horizontal; chaînage vertical; linteau (au-dessus des portes); linteau (au-dessus des fenêtres); chaînage incliné (sur rampants de pignons),,
,Section of horizontal bond beam (m x m),,,Section des chaînages horizontaux (m x m),,,
,Section of lintel (m x m),,,Section des linteaux (m x m),,,
,Connection between bearing walls and roof,none; nails; screws; lag screws/bolts; bolts and nuts; anchor bolts and washers; anchor plates; hurricane straps/ ties/ clips; wire; reinforcing bars; other,,Connection entre Maçonnerie porteuse et toit  ,aucune; clous; vis; tirefonds; boulons et écrous; tiges d'ancrage et rondelles; platines; connecteurs métalliques; fil de fer; armatures; autre ,,
,Connection material (walls - roof),none; concrete; steel; galvanized steel; stainless steel; timber; polymer; organic; other,,Connection entre Maçonnerie porteuse et toit (matériaux),aucune; béton; acier; acier galvanisé; acier inoxydable; bois; polymère; matériau organique; autre   ,,
,Stability measure - bearing walls,none; bond beam/ring beam at plinth level; bond beam/ring beam at lintel level; bond beam/ring beam at roof level; vertical wall reinforcement in corners; vertical wall reinforcement in at each wall intersection; rake beam; tie-bar/ tie rod and tie plate; vertical wall;other,,Mesures de stabilité - Maçonnerie porteuse ,aucune; chaînage horizontal en pied de mur; chaînage horizontal au niveau des linteaux; chaînage horizontal en tête de mur; chaînage vertical dans les angles; chaînage vertical à chaque intersection de murs; chaînage incliné (sur rampants de pignons); tirant; contrefort; autre,"""10/10",
,Stability measure material,none; reinforced concrete; steel; other,,Mesures de stabilité (matériaux),aucun; béton armé; acier; autre ,,
Framed walls,,,Ossature bois,,,,
,Framed walls material,steel; galvanized steel; timber; wood; bamboo; mixed; other,,Ossature bois (matériaux),acier; acier galvanisé; bois (débité); bois (non débité); bambou; ossature mixte; autre,,
,Framed walls - section of corner post (m x m),,,Ossature bois - section des poteaux d'angle (m x m),,,
,Framed walls - section of stud (m x m),,,Ossature bois - section des montants (m x m),,,
,Framed walls - section of bottom wall plate/ sill plate (m x m),,,Ossature bois - section de la lisse basse (m x m),,,
,Framed walls - section of top wall plate (m x m),,,Ossature bois - section de la lisse haute/sablière (m x m),,,
,Connection between framed walls and roof,none; nails; screws; lag screws/bolts; bolts and nuts; anchor bolts and washers; hurricane straps/ ties/ clips; wire; lashings; dowels/ pins; other,,Connection entre Ossature bois et toit ,aucune; clous; vis; tirefonds; boulons et écrous; tiges d'ancrage et rondelles; connecteurs métalliques; fil de fer; liens; cheville/goujon; autre ,,
,Connection material (walls - roof),none; steel; galvanized steel; stainless steel; timber; polymer; organic; other,,Connection entre Ossature bois et toit (matériaux),aucun; acier; acier galvanisé; acier inoxydable; bois; polymère; matériau organique; autre,,
,Stability measure - framed walls,none; corner brace; K brace; angle brace; sheathing (load bearing shell); studs located every 60 cm (2 ft) or less; cross brace; other,,Mesures de stabilité - Ossature bois,aucune; écharpe; palée en K; gousset/aisselier; contreventement par plaque (coque porteuse); montants placés tous les 60 cm (2 pieds); palée en croix de St André; autre    ,,
,Stability measure material,none; timber; wood; bamboo; plywood; wire; metal cable; rope; other,,Mesures de stabilité (matériaux) ,aucune; bois (débité); bois (non débité); bambou; contreplaqué; fil de fer; cable métallique; corde; autre  ,,
Pole-frame,,,Ossature poteaux longs,,,,
,Pole-frame - material,timber; wood; coconut tree; bamboo; other,,Ossature poteaux longs - (matériaux),bois (débité); bois (non débité); cocotier; bambou; autre ,,
,Pole-frame - section of pole (m x m),,,Ossature poteaux longs - section des poteaux (m x m),,,
,Pole-frame- height of pole (m),,,Ossature poteaux longs - hauteur des poteaux (m),,,
,Connection between pole-frame walls and roof,none; nails; screws; lag screws/bolts; bolts and nuts; anchor bolts and washers; hurricane straps/ ties/ clips; wire; lashings; dowels/ pins; other,,Connection entre Ossature poteaux longs et toit,aucune; clous; vis; tirefonds; boulons et écrous; tiges d'ancrage et rondelles; connecteurs métalliques; fil de fer; liens; chevilles/goujons; autre     ,,
,Connection material (walls - roof),none; steel; galvanized steel; stainless steel; timber; polymer; organic; other,,Connection entre Ossature poteaux longs et toit (matériaux),aucune; acier; acier galvanisé; acier inoxydable; bois (débité); polymère; matériau organique; autre   ,,
,Stability measure - pole-frame construction,none; cross brace; V brace; angle brace; gusset plates; other,,Mesures de stabilité - Ossature poteaux longs,aucune; palée en croix de St André; palée en V; gousset/aisselier; gousset (plaque); autre ,,
,Stability measure material,none; timber; wood; bamboo; plywood; wire; metal cable; rope; other,,Mesures de stabilité (matériaux),aucune; bois (débité); bois (non débité); bambou; contreplaqué; fil de fer; cable métallique; corde; autre,,
Posts & Beams,,,Ossature poteaux & poutres,,,,
,Posts & beams framing - material,reinforced concrete; steel; galvanized steel; timber; wood; coconut tree; bamboo; other,,Ossature Poteaux-poutres - (matériaux),béton armé; acier; acier galvanisé; bois (débité); bois (non débité); cocotier; bambou; autre ,,
,Posts & beams framing - section of post (m x m),,,Ossature Poteaux-poutres - section des poteaux (m x m),,,
,Posts & beams framing - height of post (m),,,Ossature Poteaux-poutres - hauteur des poteaux (m),,,
,Connection between posts and beams framing walls and roof,none; nails; screws; lag screws/bolts; bolts and nuts; anchor bolts and washers; anchor plates; hurricane straps/ ties/ clips; wire; lashings; dowels/ pins; reinforcing bars; other,,Connection entre Ossature Poteaux-poutres et toit ,aucune; clous; vis; tirefonds; boulons et écrous; tiges d'ancrage et rondelles; platiness; connecteurs métalliques; fil de fer; liens; chevilles/goujons; armatures; autre    ,,
,Connection material (walls - roof),none; concrete; steel; galvanized steel; stainless steel; timber; polymer; organic; other,,Connection entre Ossature Poteaux-poutres et toit (matériaux),aucun; béton; acier; acier galvanisé; acier inoxydable; bois (débité); polymère; matériau organique; autre,,
,Stability measure - posts & beams framing,none; cross brace; V brace; angle brace; gusset plates; other,,Mesures de stabilité - Ossature Poteaux-poutres,aucune; palée en croix de St André; palée en V; gousset/aisselier; gousset (plaque); autre ,,
,Stability measure material,none; reinforced concrete; steel; timber; bamboo; plywood; rope; wire; metal cable; other,,Mesures de stabilité (matériaux) ,aucun; béton armé; acier; bois (débité); bambou; contreplaqué; corde; fil de fer; cable métallique; autre ,,
Beams & Floor (ground floor),,,Poutres & Plancher (RDC),,,,
,Ground floor type,earth platform (elevated ground floor); ground slab/ slab on grade; suspended timber ground floor; suspended slab (reinforced concrete); beam and blocks/ beam fill floor (concrete joists and infill blocks); other types of suspended floor; other,,Type de plancher bas (rez-de-chaussée),plateforme en terre (plancher bas surélevé); dallage sur terre-plein; plancher en bois (suspendu); dalle pleine (en béton armé); plancher poutrelles hourdis; autre type de plancher suspendu; autre  ,,
,Ground floor material,backfill compacted; debris; granular fill (gravel); stone; reinforced concrete; welded-wire mesh; concrete; concrete blocks & mortar; timber; wood; steel; galvanized steel; bamboo; concrete joists; infill blocks/ blocks floor; arched bricks; granular fill; other,,Plancher bas (matériaux),remblai compacté; décombres; hérisson; pierres; béton armé; treillis soudé; béton; blocs de béton et mortier; bois (débité); bois (non débité); acier; acier galvanisé; bambou; poutrelles en béton; hourdis; voûtains; autre ,"""17/17",granular fill is present twice in C119.  proposed solution : delete granular fill in red in C119
,Height of ground floor above ground level (m),,,Hauteur du plancher bas par rapport au terrain (m),,,
,Lenght of the beams/joists (m),,,Longueur des poutres/solives (m),,,
,Section of the beams/joists (m x m),,,Section des poutres/solives (m x m),,,
,Distance between beams/joists (m),,,Distance entre poutres/solives (m),,,
,Thickness of decking/ concrete slab/ compression slab (m),,,Epaisseur du plancher/ dalle de béton/ dalle de compression (m),,,
,Floor components,concrete; reinforcing bars; welded-wire mesh; steel; galvanized steel; timber; wood; plywood; bamboo; infill blocks; arched bricks; other,,Composants du plancher bas,béton; armatures; treillis soudé; acier; acier galvanisé; bois (débité); bois (non débité); contreplaqué; bambou; hourdis; voûtains (briques); autre ,,
,Connection between walls and ground floor,none; nails; screws; lag screws/bolts; bolts and nuts; wire; anchor plates; straps; reinforcing bars; lashings; dowels/ pins; other,,Connexion entre murs et plancher bas,aucune; clous; vis; tirefonds; boulons et écrous; fil de fer; platines; connecteurs; armatures; liens; chevilles/goujons; autre    ,,
,Connection material (walls - ground floor),none; concrete; steel; galvanized steel; stainless steel; timber; wood; polymer; organic; other,,Connexion entre murs et plancher bas (matériaux),aucun; béton; acier; acier galvanisé; acier inoxydable; bois (débité); bois (non débité); polymère; matériau organique; autre ,,
,Stability measure - elevated ground floor,none; cross brace; angle brace; gusset plates; other,,Mesures de stabilité - plancher bas surélevé ,aucune; palée en croix de St André; gousset/aisselier; gousset (plaque); autre ,,
,Stability measure material ,none; reinforced concrete; steel; timber; wood; plywood; bamboo; other,,Mesures de stabilité (matériaux) ,aucun; béton armé; acier; bois (débité); bois (non débité); contreplaqué; bambou; autre     ,,
Beams & Floor,,,Poutres & Plancher,,,,
,Floor type (second floor and others),none; suspended timber ground floor; suspended slab (reinforced concrete); beam and blocks/ beam fill floor (concrete joists and infill blocks); other types of suspended floor; other,,Type de planchers (étages),aucun; plancher bois; dalle en béton armé; poutrelles et hourdis; autre type de plancher suspendu; autre  ,,
,Beams/ joists material,reinforced concrete; steel; galvanized steel; timber; wood; bamboo; other,,Poutres/solives (matériaux) ,béton armé; acier; acier galvanisé; bois (débité); bois (non débité); bambou; autre ,,
,Lenght of the beams/joists (m),,,Longueur des poutres/solives (m),,,
,Section of the beams/joists (m x m),,,Section des poutres/solives (m x m),,,
,Distance between beams/joists (m),,,Distance entre poutres/solives (m),,,
,Connection between walls and floor (if more than one storey),none; nails; screws; lag screws/bolts; bolts and nuts; wire; anchor plates; straps; ties; reinforcing bars; lashings; dowels/ pins; ,,Connexion entre murs et plancher (si plus d'un étage),aucune; clous; vis; tirefonds; boulons et écrous; fil de fer; platines; connecteurs; tirant; armatures; liens; chevilles/goujons ,,
,Connection material (walls - floor),none; concrete; steel; galvanized steel; stainless steel; timber; wood; polymer; organic; other,,Connexion entre murs et plancher (si plus d'un étage) (matériaux),aucun; béton; acier; acier galvanisé; acier inoxydable; bois (débité); bois (non débité); polymère; matériau organique; autre  ,,
,Thickness of decking/ concrete slab/ compression slab (m),,,Epaisseur du plancher / de la dalle / de la dalle de compression (m),,,
,Floor components,concrete; reinforcing bars; welded-wire mesh; steel; galvanized steel; timber; wood; plywood; bamboo; infill blocks; arched bricks; other,,Composants du plancher,béton; armatures; treillis soudé; acier; acier galvanisé; bois (débité); bois (non débité); contreplaqué; bambou; hourdis; voûtains (briques); autre ,,
,Comment,,,Commentaire,,,
Roof,,,Toiture,,,,
,Roof shape,"shed roof (single-pitch roof, pitch >3°); gable roof (pitched roof); hip-roof (hipped roof); flat roof (pitch <3°); dome; rainbow roof (arched); mansard roof; gambrel roof (roof with several slopes on the same side)",,Type de toiture,toiture à un versant (pente >3°); toiture à deux versants; toiture à quatre versants (toiture à croupe); toiture terrasse (pente <3°); dôme; comble bombé (comble en carène); comble à la Mansard; comble retroussé,,
,Roof pitch (°),<3° (<5%); 3-9° (5-16 %); 10-30° (17-60%) ; 30-45° (60-100%); >45° (>100%),,Pente du toit (°),<3° (<5%); 3-9° (5-16 %); 10-30° (17-60%) ; 30-45° (60-100%); >45° (>100%),,
,Roof structure,gable end; truss; purlin; rafter; roof decking; concrete slab,,Structure du toit,pointe de pignon; fermes; pannes; chevrons; voligeage; dalle de béton ,,
,Roof structure material,steel; galvanized steel; timber; wood; plywood; sheathing; bamboo; reinforced concrete; other,,Structure du toit (matériaux),acier; acier galvanisé; bois (débité); bois (non débité); contreplaqué; revêtement (voligeage); bambou; béton armé; autre ,,
,Distance between trusses/ gable end/ cross wall (m),,,Distance entre fermes/pignons/mur porteur intermédiaire (m),,,
,Section of purlin (m x m),,,Section des pannes (m x m),,,
,Distance between purlins (m),,,Distance entre pannes (m),,,
,Section of rafter (m x m),,,Section des chevrons (m x m),,,
,Distance between rafters (m),,,Distance entre chevrons (m),,,
,Size of eaves (overhang) (m),,,Largeur de l'avant-toit/ forget (m),,,
,Thickness of roof decking/ concrete slab (m),,,Epaisseur du voligeage / de la dalle de toiture (m),,,
,Section of batten/ lath (m x m),,,Section des liteaux/lattes  (m x m),,,
,Distance between  battens/ laths (m),,,Distance entre les liteaux/lattes (m),,,
,Connection between roof elements,none; nails; screws; lag screws/bolts; bolts and nuts; anchor plates; hurricane straps; gusset plates; connectors/ nail plates; lashings; dowels/ pins;,,Connection entre les éléments de toiture (type),aucune; clous; vis; tirefonds; boulons et écrous; pattes d'ancrage; connecteurs métalliques; goussets (plaque); connecteurs (plaque); liens; chevilles/goujons,,
,Connection material (roof elements),none; concrete; steel; galvanized steel; stainless steel; timber; polymer; organic; other,,Connection entre les éléments de toiture (matériaux),aucune; béton; acier; acier galvanisé; acier inoxydable; bois (débité); matériaux polymères; matériaux organiques; autre ,,
,Stability measure - roof,none; tie beam; collar beam/ tie; tie (between ridge beam and king post/ truss); rafter brace; gusset plates; bracing ;other,,Mesures de stabilité - toiture,aucune; entrait; faux entrait; lien (entre poinçon et panne faitière); contreventement des chevrons; goussets (plaque); contreventement des pannes sablières; autre ,"""8/8",
,Stability measure material,none; concrete; steel; timber; bamboo; other,,Mesures de stabilité (matériaux),aucun; béton; acier; bois (débité); bambou; autre ,,
,Comment,,,Commentaire,,,
Cladding,,,Bardage,,,,
,Facade cladding material,none; brick; hollow brick; perforated brick; adobe/ sun-dried brick; mud plaster; concrete block (solid); hollow concrete block; cement plaster; wattle & daub; timber; wood; plywood; fiber cement board/ cement board; bamboo; metal sheeting; plastic sheeting (tarpaulin); canvas; textile; woven mat (organic material); thatch; straw; corrugated galvanized iron (CGI) sheet; shingle; wood shingle; other;,,Bardage de façade (matériaux),aucun; brique pleine; brique creuse; brique perforée; adobe (brique de terre crue séchée); enduit de terre; bloc plein (en béton); bloc creux (en béton); enduit de mortier de ciment; torchis; bois (débité); bois (non débité); contreplaqué; plaque de fibro-ciment; bambou; tôle métallique; bâche plastique); toile; tissu; natte (matière organique); chaume; paille; tôle ondulée galvanisée (CGI); bardeaux bitumés; bardeaux de bois; autre,,
,Thickness of cladding material (mm),,,Epaisseur des matériaux de bardage  (mm),,,
,Roof covering material,corrugated galvanized iron (CGI) sheet; insulated metal roofing sheet; corrugated bitumen roofing panel; aluminium roofing sheet; plastic sheeting (tarpaulin); thatch; leaves; straw; clay tiles; concrete tiles; stone shingle; asphalt shingle; wood shingle; asphalt; bamboo; wood; plywood; GPR (fibreglass) panel; other,,Couverture (matériaux),tôle ondulée galvanisée (CGI); panneau métallique isolant; tôle ondulée bitumée; tôle ondulée en aluminium; bâche plastique; chaume; feuilles; paille; tuiles (argile cuite); tuiles en béton; ardoises; bardeaux bitumés; bardeaux de bois; asphalte; bambou; bois (non débité); contreplaqué; tôle ondulée en fibres de verre; autre  ,"""19/19",
,Thickness of roof covering (mm or gauge),,,Epaisseur des matériaux de couverture (mm ou gauge),,,
,Floor Finish Material,none; timber; wood; cement plaster; mud plaster; bamboo; ceramic tiles; carpet; plastic floor; organic material; other,,Finition du plancher (matériaux),aucun; bois (débité); bois (non débité); enduit de ciment; enduit de terre; bambou; carrelage; tapis/moquette; revêtement de PVC; matériau organique; autre,,
Openings,,,Ouvertures,,,,
,Number of doors,,,Nombre de portes,,,
,Doors material,timber; wood; plywood; bamboo; plastic sheeting; mesh; insect screening mesh; fibreglass; leaves; other,,Portes (matériaux),bois (débité); bois (non débité); contreplaqué; bambou; bâche plastique; grilllage fin; moustiquaire; fibre de verre; feuilles (nattes); autre,,
,Number of windows,,,Nombre de fenêtres,,,
,Windows material,timber; wood; plywood; bamboo; plastic sheeting; insect screening mesh; fibreglass; lattice; other,,Fenêtres (matériaux),bois (débité); bois (non débité); contreplaqué; bambou; bâche plastique; moustiquaire; fibre de verre; lattis; autre    ,,
,Number of shutters,,,Nombre de volets,,,
,Shutters material,metal; timber; wood; plywood; bamboo; other,,Volets (matériaux),métal; bois (débité); bois (non débité); contreplaqué; bambou; autre ,,
Insulation,,,Isolation,,,,
,Insulation system,none; shading ; insulation of the flooring; insulation on the walls; insulation below the roof; other,,Système d'isolation ,aucun; ombrage; isolation thermique du plancher; isolation thermique des murs;  isolation thermique sous la toiture; autre  ,,
,Insulation material,none; shade net;  insulated corrugated roofing sheeting; organic material; other,,Matériaux isolants,aucun; filet d'ombrage; panneau métallique isolant; matériau organique; autre,"""5/5",
,Comment,,,,,,
Skin,,,Enveloppe,,,,
,Comment,,,Commentaire,,,
Services,,,Services,,,,
,Water Supply location,in shelter; on plot; communal; other,,Emplacement de la source d'approvisionnement en eau,dans le logement; sur le terrain; communale; autre ,,
,Distance to the water supply,,,Distance jusqu'à la source d'approvisionnement en eau,,,
,Water Supply Type,"piped water; tap/standpipe; tubewell/ borehole; protected dug well; protected spring; rainwater collection; unprotected spring; unprotected dug well; cart with small tank/drum; tanker truck; surface water (from river, pond, lake); bottled water; other",,Type d'approvisionnement en eau,"eau courante; borne-fontaine; puits tubulaire; puits creusé protégé; source protégée; collecte des eaux de pluie; source non-protégée; puits creusé non-protégé; charrette avec petit bidon/réservoir; camion-citerne; eaux de surface (rivière, étang, lac); eau en bouteille; autre    ",,
,Sanitation location,in shelter; on plot; communal; other,,Emplacement du moyen d'assainissement,dans le logement; sur le terrain; communale; autre ,,
,Distance to the sanitation,,,Distance jusqu'au moyen d'assainissement,,,
